חודש,"מחוז למ""ס",סמל ישוב,יישוב,"סה""כ דורשי עבודה",גברים,נשים,אקדמאים,אינם אקדמאים,הבטחת הכנסה,דורשי עבודה שאינם עובדים,השמות מתוך הפניות,שיעור אבטלה מוערך ביישוב
2012-09,הצפון,944,בסמת טבעון,207,78,129,3,204,171,206,9,7%
2012-09,הצפון,483,בענה,403,152,251,4,399,350,403,10,13%
2012-09,הצפון,1292,ג'דיידה-מכר,1485,599,886,6,1479,1301,1482,35,18%
2012-09,הצפון,485,ג'ולס,239,59,180,2,237,157,239,5,9%
2012-09,הצפון,487,ג'ש (גוש חלב),50,16,34,3,47,25,49,0,3%
2012-09,הצפון,489,דבורייה,388,158,230,20,368,309,388,3,10%
2012-09,הצפון,490,דייר אל-אסד,402,167,235,10,392,321,402,8,9%
2012-09,הצפון,492,דייר חנא,632,261,371,10,622,505,632,9,15%
2012-09,הצפון,975,זרזיר,310,145,165,3,307,213,307,11,11%
2012-09,הצפון,496,חורפיש,110,38,72,8,102,72,110,9,5%
2012-09,הצפון,2034,חצור הגלילית,258,110,148,15,243,133,252,4,6%
2012-09,הצפון,6700,טבריה,1885,777,1108,121,1764,1217,1737,65,8%
2012-09,הצפון,962,טובא-זנגרייה,396,178,218,7,389,274,392,5,14%
2012-09,הצפון,498,טורעאן,550,208,342,9,541,482,540,15,11%
2012-09,הצפון,8900,טמרה,1979,755,1224,16,1963,1730,1973,54,15%
2012-09,הצפון,1295,יאנוח-ג'ת,161,50,111,4,157,108,161,3,7%
2012-09,הצפון,46,יבנאל,130,82,48,6,124,98,120,2,8%
2012-09,הצפון,499,יפיע,643,265,378,9,634,507,638,8,9%
2012-09,הצפון,240,יקנעם עילית,504,206,298,86,418,175,503,25,5%
2012-09,הצפון,502,ירכא,535,200,335,1,534,442,535,12,10%
2012-09,הצפון,504,כאבול,699,262,437,10,689,608,695,15,15%
2012-09,הצפון,505,כאוכב אבו אל-היג'א,217,97,120,4,213,179,217,4,14%
2012-09,הצפון,1296,כסרא-סמיע,194,84,110,3,191,145,194,7,6%
2012-09,הצפון,978,כעביה-טבאש-חג'אג'רה,178,67,111,1,177,140,177,1,9%
2012-09,הצפון,1263,כפר ורדים,63,25,38,26,37,8,63,3,2%
2012-09,הצפון,507,כפר יאסיף,512,203,309,5,507,411,512,10,11%
2012-09,הצפון,508,כפר כמא,61,23,38,0,61,33,60,0,4%
2012-09,הצפון,509,כפר כנא,1170,448,722,31,1139,1039,1154,29,14%
2012-09,הצפון,510,כפר מנדא,929,394,535,12,917,738,917,20,14%
2012-09,הצפון,47,כפר תבור,55,16,39,20,35,8,55,3,3%
2012-09,הצפון,1139,כרמיאל,1706,681,1025,355,1351,892,1661,40,7%
2012-09,הצפון,481,מגאר,1455,578,877,22,1433,1298,1451,17,17%
2012-09,הצפון,516,מג'ד אל-כרום,539,230,309,6,533,441,539,10,9%
2012-09,הצפון,874,מגדל העמק,975,377,598,88,887,472,947,42,7%
2012-09,הצפון,4201,מג'דל שמס,461,168,293,13,448,405,451,3,10%
2012-09,הצפון,517,מזרעה,177,66,111,6,171,150,176,4,10%
2012-09,הצפון,4203,מסעדה,176,59,117,6,170,146,175,0,11%
2012-09,הצפון,518,מעיליא,43,23,20,3,40,16,43,5,3%
2012-09,הצפון,1063,מעלות-תרשיחא,894,409,485,127,767,526,892,35,8%
2012-09,הצפון,520,משהד,306,111,195,7,299,258,301,4,10%
2012-09,הצפון,9100,נהרייה,1990,878,1112,253,1737,1212,1980,53,7%
2012-09,הצפון,522,נחף,405,179,226,8,397,327,404,6,9%
2012-09,הצפון,7300,נצרת,3001,1242,1759,105,2896,2373,2986,40,10%
2012-09,הצפון,1061,נצרת עילית,1870,768,1102,261,1609,1068,1778,73,8%
2012-09,הצפון,525,סאג'ור,113,41,72,2,111,80,113,2,7%
2012-09,הצפון,7500,סח'נין,2032,877,1155,38,1994,1753,2031,28,16%
2012-09,הצפון,4501,ע'ג'ר,64,24,40,0,64,53,63,2,7%
2012-09,הצפון,530,עיילבון,196,72,124,4,192,138,196,2,8%
2012-09,הצפון,511,עילוט,300,121,179,3,297,250,299,4,12%
2012-09,הצפון,532,עין מאהל,579,248,331,4,575,511,572,2,13%
2012-09,הצפון,7600,עכו,3201,1436,1765,165,3036,2497,3165,77,12%
2012-09,הצפון,7700,עפולה,1591,642,949,183,1408,813,1552,73,7%
2012-09,הצפון,531,עראבה,1389,571,818,25,1364,1242,1388,14,15%
2012-09,הצפון,535,פסוטה,122,55,67,6,116,80,122,0,8%
2012-09,הצפון,536,פקיעין (בוקייעה),122,65,57,9,113,72,121,3,5%
2012-09,הצפון,8000,צפת,1247,639,608,82,1165,973,1235,14,10%
2012-09,הצפון,4100,קצרין,187,79,108,36,151,84,187,6,5%
2012-09,הצפון,2800,קריית שמונה,658,285,373,65,593,251,643,49,5%
2012-09,הצפון,543,ראמה,288,102,186,9,279,238,285,1,8%
2012-09,הצפון,26,ראש פינה,43,14,29,7,36,18,43,0,3%
2012-09,הצפון,542,ריינה,626,244,382,19,607,518,622,10,10%
2012-09,הצפון,122,רמת ישי,104,36,68,33,71,15,104,1,3%
2012-09,הצפון,913,שבלי - אום אל-גנם,222,93,129,8,214,161,221,5,9%
2012-09,הצפון,812,שלומי,250,102,148,20,230,140,249,5,7%
2012-09,הצפון,538,שעב,485,194,291,7,478,439,485,4,17%
2012-09,הצפון,8800,שפרעם,1979,741,1238,37,1942,1676,1972,48,12%
2012-09,חיפה,2710,אום אל-פחם,3741,1517,2224,15,3726,3226,3738,18,20%
2012-09,חיפה,1020,אור עקיבא,539,242,297,47,492,215,534,16,6%
2012-09,חיפה,6000,באקה אל-גרביה,655,293,362,19,636,445,653,17,6%
2012-09,חיפה,9800,בנימינה-גבעת עדה*,191,71,120,54,137,53,190,0,3%
2012-09,חיפה,1326,"בסמ""ה",421,186,235,3,418,338,421,1,12%
2012-09,חיפה,541,ג'סר א-זרקא,431,223,208,1,430,273,428,2,8%
2012-09,חיפה,628,ג'ת,195,83,112,12,183,119,194,6,4%
2012-09,חיפה,494,דאלית אל-כרמל,509,195,314,12,497,298,505,3,7%
2012-09,חיפה,9300,זכרון יעקב,246,109,137,93,153,45,243,4,2%
2012-09,חיפה,6500,חדרה,2393,934,1459,317,2076,984,2366,36,5%
2012-09,חיפה,4000,חיפה,6613,3052,3561,1208,5405,3987,6586,218,5%
2012-09,חיפה,1247,חריש,32,13,19,4,28,5,31,1,2%
2012-09,חיפה,2100,טירת כרמל,721,319,402,35,686,460,716,38,7%
2012-09,חיפה,654,כפר קרע,350,147,203,5,345,235,348,4,5%
2012-09,חיפה,1327,מעלה עירון,953,364,589,1,952,793,953,1,18%
2012-09,חיפה,2500,נשר,492,211,281,89,403,235,490,19,4%
2012-09,חיפה,534,עספיא,297,123,174,8,289,179,296,3,6%
2012-09,חיפה,637,ערערה,569,226,343,6,563,395,568,20,8%
2012-09,חיפה,537,פוריידיס,378,168,210,7,371,264,375,2,7%
2012-09,חיפה,7800,פרדס חנה-כרכור,822,343,479,147,675,283,821,34,5%
2012-09,חיפה,6800,קריית אתא,1633,698,935,154,1479,995,1626,39,6%
2012-09,חיפה,9500,קריית ביאליק,1158,456,702,129,1029,644,1153,24,6%
2012-09,חיפה,2300,קריית טבעון,172,87,85,56,116,53,170,3,2%
2012-09,חיפה,9600,קריית ים,1539,710,829,172,1367,998,1535,41,7%
2012-09,חיפה,8200,קריית מוצקין,1053,434,619,165,888,548,1047,26,5%
2012-09,חיפה,922,רכסים,136,62,74,8,128,80,136,2,4%
2012-09,ירושלים,472,אבו גוש,246,119,127,5,241,187,246,11,9%
2012-09,ירושלים,2610,בית שמש,1222,515,707,117,1105,585,1216,134,4%
2012-09,ירושלים,3000,ירושלים,10466,4595,5871,1226,9240,6414,10413,640,4%
2012-09,ירושלים,1015,מבשרת ציון,374,165,209,69,305,169,372,20,3%
2012-09,ירושלים,1137,קריית יערים,43,16,27,5,38,20,42,6,4%
2012-09,תל אביב,2400,אור יהודה,797,325,472,40,757,290,785,46,4%
2012-09,תל אביב,565,אזור,164,83,81,25,139,31,164,10,3%
2012-09,תל אביב,6100,בני ברק,2441,1145,1296,122,2319,1338,2429,68,5%
2012-09,תל אביב,6200,בת ים,3131,1453,1678,471,2660,1337,3076,170,4%
2012-09,תל אביב,6300,גבעתיים,724,309,415,310,414,97,718,30,3%
2012-09,תל אביב,6400,הרצלייה,969,412,557,305,664,60,962,135,2%
2012-09,תל אביב,6600,חולון,2943,1353,1590,497,2446,905,2899,157,3%
2012-09,תל אביב,2620,קריית אונו,382,170,212,142,240,45,378,9,2%
2012-09,תל אביב,8600,רמת גן,2002,907,1095,641,1361,458,1987,109,3%
2012-09,תל אביב,2650,רמת השרון,391,172,219,181,210,8,385,37,2%
2012-09,תל אביב,5000,תל אביב -יפו,7774,3816,3958,2493,5281,2583,7731,268,3%
2012-10,אזור יהודה והשומרון,3760,אורנית,102,47,55,38,64,3,102,3,2%
2012-10,אזור יהודה והשומרון,3750,אלפי מנשה,102,50,52,33,69,2,102,2,2%
2012-10,אזור יהודה והשומרון,3560,אלקנה,29,16,13,15,14,1,28,0,2%
2012-10,אזור יהודה והשומרון,3650,אפרת,51,27,24,27,24,7,51,1,1%
2012-10,אזור יהודה והשומרון,3570,אריאל,446,225,221,107,339,97,445,13,4%
2012-10,אזור יהודה והשומרון,3574,בית אל,59,28,31,15,44,22,59,2,3%
2012-10,אזור יהודה והשומרון,3652,בית אריה,50,20,30,4,46,4,50,0,2%
2012-10,אזור יהודה והשומרון,3780,ביתר עילית,453,216,237,15,438,213,451,1,4%
2012-10,אזור יהודה והשומרון,3730,גבעת זאב,169,82,87,24,145,38,169,9,3%
2012-10,אזור יהודה והשומרון,3769,הר אדר,30,12,18,15,15,3,30,1,2%
2012-10,אזור יהודה והשומרון,3797,מודיעין עילית,378,141,237,24,354,121,376,12,3%
2012-10,אזור יהודה והשומרון,3616,מעלה אדומים,630,245,385,94,536,195,625,34,3%
2012-10,אזור יהודה והשומרון,3660,עמנואל,81,38,43,5,76,61,81,1,8%
2012-10,אזור יהודה והשומרון,3557,קדומים,34,15,19,9,25,7,33,0,2%
2012-10,אזור יהודה והשומרון,3611,קריית ארבע,109,50,59,23,86,56,109,1,4%
2012-10,אזור יהודה והשומרון,3640,קרני שומרון,91,45,46,29,62,15,91,2,3%
2012-10,הדרום,31,אופקים,1469,610,859,105,1364,984,1458,26,12%
2012-10,הדרום,2600,אילת,1300,580,720,64,1236,588,1285,35,4%
2012-10,הדרום,70,אשדוד,7137,2828,4309,842,6295,3800,7085,239,7%
2012-10,הדרום,7100,אשקלון,4504,1778,2726,700,3804,2599,4406,74,7%
2012-10,הדרום,9000,באר שבע,7368,3240,4128,1018,6350,4612,7320,265,7%
2012-10,הדרום,2200,דימונה,2159,876,1283,142,2017,1501,2135,45,12%
2012-10,הדרום,1303,חורה,734,306,428,0,734,683,734,5,21%
2012-10,הדרום,831,ירוחם,459,216,243,21,438,284,455,29,11%
2012-10,הדרום,1059,כסיפה,957,404,553,5,952,870,956,4,23%
2012-10,הדרום,1271,להבים,55,31,24,21,34,4,55,10,2%
2012-10,הדרום,1060,לקיה,935,410,525,4,931,881,934,7,26%
2012-10,הדרום,1268,מיתר,60,27,33,26,34,6,60,6,2%
2012-10,הדרום,99,מצפה רמון,261,106,155,18,243,137,246,16,10%
2012-10,הדרום,246,נתיבות,1099,470,629,61,1038,567,1094,40,9%
2012-10,הדרום,666,עומר,57,18,39,26,31,4,57,5,2%
2012-10,הדרום,2560,ערד,842,365,477,157,685,473,823,55,7%
2012-10,הדרום,1192,ערערה-בנגב,938,404,534,4,934,877,937,4,25%
2012-10,הדרום,2630,קריית גת,2431,1013,1418,201,2230,1545,2426,44,9%
2012-10,הדרום,1034,קריית מלאכי,1299,582,717,40,1259,814,1274,113,11%
2012-10,הדרום,1161,רהט,3056,1275,1781,10,3046,2739,3055,26,18%
2012-10,הדרום,1286,שגב-שלום,493,175,318,0,493,454,492,2,20%
2012-10,הדרום,1031,שדרות,1170,465,705,66,1104,708,1164,28,10%
2012-10,הדרום,1054,תל שבע,1129,509,620,2,1127,1073,1128,6,26%
2012-10,המרכז,182,אבן יהודה,164,67,97,57,107,26,163,2,3%
2012-10,המרכז,41,אליכין,63,26,37,7,56,20,63,0,4%
2012-10,המרכז,1309,אלעד,438,181,257,21,417,113,434,13,4%
2012-10,המרכז,2530,באר יעקב,248,106,142,50,198,67,243,8,3%
2012-10,המרכז,466,בית דגן,116,53,63,24,92,38,115,5,3%
2012-10,המרכז,1066,"בני עי""ש",231,108,123,30,201,75,229,4,6%
2012-10,המרכז,681,גבעת שמואל,306,158,148,125,181,58,303,9,3%
2012-10,המרכז,2550,גדרה,377,168,209,73,304,106,369,5,3%
2012-10,המרכז,627,ג'לג'וליה,87,38,49,2,85,52,86,2,3%
2012-10,המרכז,166,גן יבנה,369,140,229,47,322,94,367,19,4%
2012-10,המרכז,229,גני תקווה,181,86,95,58,123,27,180,6,2%
2012-10,המרכז,9700,הוד השרון,687,326,361,270,417,68,681,4,3%
2012-10,המרכז,1290,זמר,152,43,109,7,145,119,152,1,6%
2012-10,המרכז,2730,טייבה,2124,888,1236,9,2115,1838,2117,4,13%
2012-10,המרכז,2720,טירה,344,177,167,7,337,176,342,11,3%
2012-10,המרכז,2660,יבנה,889,418,471,78,811,370,887,55,4%
2012-10,המרכז,9400,יהוד,538,216,322,91,447,72,525,12,3%
2012-10,המרכז,1224,כוכב יאיר,79,31,48,36,43,3,79,1,1%
2012-10,המרכז,633,כפר ברא,21,11,10,0,21,11,21,0,2%
2012-10,המרכז,168,כפר יונה,334,146,188,71,263,61,333,3,3%
2012-10,המרכז,6900,כפר סבא,1247,538,709,390,857,190,1237,20,3%
2012-10,המרכז,634,כפר קאסם,218,98,120,0,218,131,218,4,3%
2012-10,המרכז,7000,לוד,2207,971,1236,171,2036,1253,2191,77,6%
2012-10,המרכז,1200,מודיעין-מכבים-רעות*,933,385,548,347,586,64,924,44,2%
2012-10,המרכז,28,מזכרת בתיה,176,67,109,34,142,43,174,1,3%
2012-10,המרכז,7200,נס ציונה,693,295,398,160,533,196,687,5,3%
2012-10,המרכז,7400,נתניה,4413,2001,2412,664,3749,1633,4390,78,4%
2012-10,המרכז,587,סביון*,18,6,12,13,5,0,18,0,1%
2012-10,המרכז,171,פרדסייה,84,32,52,21,63,6,84,0,2%
2012-10,המרכז,7900,פתח תקווה,4225,1876,2349,864,3361,1107,4201,221,4%
2012-10,המרכז,195,קדימה-צורן,248,94,154,75,173,37,248,0,3%
2012-10,המרכז,638,קלנסווה,869,317,552,4,865,760,866,0,11%
2012-10,המרכז,469,קריית עקרון,304,146,158,21,283,129,303,1,5%
2012-10,המרכז,2640,ראש העין,770,366,404,104,666,156,765,31,4%
2012-10,המרכז,8300,ראשון לציון,4649,2035,2614,1026,3623,1544,4637,200,4%
2012-10,המרכז,8400,רחובות,2674,1146,1528,540,2134,1062,2616,13,4%
2012-10,המרכז,8500,רמלה,1794,864,930,115,1679,810,1755,81,5%
2012-10,המרכז,8700,רעננה,840,401,439,346,494,90,839,6,2%
2012-10,המרכז,1304,שוהם,207,89,118,88,119,6,207,8,2%
2012-10,המרכז,154,תל מונד,120,59,61,44,76,24,120,0,2%
2012-10,הצפון,473,אבו סנאן,737,298,439,3,734,630,733,10,14%
2012-10,הצפון,478,אכסאל,515,212,303,8,507,449,515,4,10%
2012-10,הצפון,529,אעבלין,613,236,377,7,606,517,613,4,12%
2012-10,הצפון,482,בועיינה-נוג'ידאת,404,168,236,3,401,363,396,24,12%
2012-10,הצפון,4001,בוקעאתא,384,136,248,7,377,340,375,3,15%
2012-10,הצפון,998,ביר אל-מכסור,386,135,251,1,385,330,386,2,12%
2012-10,הצפון,480,בית ג'ן,331,105,226,9,322,238,329,6,7%
2012-10,הצפון,9200,בית שאן,886,387,499,19,867,465,885,62,9%
2012-10,הצפון,944,בסמת טבעון,202,78,124,0,202,173,201,3,7%
2012-10,הצפון,483,בענה,398,151,247,2,396,346,398,5,13%
2012-10,הצפון,1292,ג'דיידה-מכר,1472,599,873,6,1466,1296,1469,21,18%
2012-10,הצפון,485,ג'ולס,239,59,180,2,237,154,239,6,9%
2012-10,הצפון,487,ג'ש (גוש חלב),48,17,31,2,46,25,47,0,3%
2012-10,הצפון,489,דבורייה,372,152,220,21,351,300,372,0,10%
2012-10,הצפון,490,דייר אל-אסד,404,171,233,9,395,325,404,5,9%
2012-10,הצפון,492,דייר חנא,611,247,364,8,603,499,611,6,14%
2012-10,הצפון,975,זרזיר,307,137,170,3,304,216,305,4,11%
2012-10,הצפון,496,חורפיש,119,41,78,8,111,77,119,4,5%
2012-10,הצפון,2034,חצור הגלילית,297,130,167,17,280,143,292,2,6%
2012-10,הצפון,6700,טבריה,1945,823,1122,125,1820,1203,1794,80,9%
2012-10,הצפון,962,טובא-זנגרייה,369,170,199,7,362,273,365,2,13%
2012-10,הצפון,498,טורעאן,567,217,350,10,557,484,563,25,11%
2012-10,הצפון,8900,טמרה,1972,771,1201,15,1957,1738,1967,26,15%
2012-10,הצפון,1295,יאנוח-ג'ת,155,49,106,2,153,115,155,6,6%
2012-10,הצפון,46,יבנאל,142,93,49,8,134,99,129,0,9%
2012-10,הצפון,499,יפיע,636,265,371,7,629,504,633,8,9%
2012-10,הצפון,240,יקנעם עילית,537,224,313,90,447,184,536,21,5%
2012-10,הצפון,502,ירכא,522,189,333,0,522,438,522,11,10%
2012-10,הצפון,504,כאבול,671,256,415,6,665,598,669,3,15%
2012-10,הצפון,505,כאוכב אבו אל-היג'א,214,92,122,4,210,179,214,2,14%
2012-10,הצפון,1296,כסרא-סמיע,234,90,144,2,232,180,234,6,8%
2012-10,הצפון,978,כעביה-טבאש-חג'אג'רה,183,71,112,3,180,144,182,1,9%
2012-10,הצפון,1263,כפר ורדים,73,28,45,31,42,11,73,1,2%
2012-10,הצפון,507,כפר יאסיף,515,209,306,7,508,416,515,10,11%
2012-10,הצפון,508,כפר כמא,63,24,39,1,62,33,62,0,4%
2012-10,הצפון,509,כפר כנא,1194,463,731,29,1165,1065,1178,40,15%
2012-10,הצפון,510,כפר מנדא,910,392,518,10,900,734,903,13,14%
2012-10,הצפון,47,כפר תבור,47,16,31,17,30,7,46,1,2%
2012-10,הצפון,1139,כרמיאל,1748,691,1057,368,1380,890,1697,37,7%
2012-10,הצפון,481,מגאר,1426,555,871,19,1407,1278,1423,15,17%
2012-10,הצפון,516,מג'ד אל-כרום,528,225,303,8,520,431,528,2,9%
2012-10,הצפון,874,מגדל העמק,1076,417,659,85,991,511,1043,58,8%
2012-10,הצפון,4201,מג'דל שמס,452,165,287,12,440,394,446,3,10%
2012-10,הצפון,517,מזרעה,164,58,106,6,158,139,163,2,9%
2012-10,הצפון,4203,מסעדה,174,59,115,6,168,149,173,0,11%
2012-10,הצפון,518,מעיליא,38,21,17,1,37,16,38,1,3%
2012-10,הצפון,1063,מעלות-תרשיחא,903,414,489,128,775,534,896,32,8%
2012-10,הצפון,520,משהד,304,117,187,8,296,264,303,3,10%
2012-10,הצפון,9100,נהרייה,2097,919,1178,261,1836,1268,2084,67,7%
2012-10,הצפון,522,נחף,395,176,219,5,390,327,395,11,9%
2012-10,הצפון,7300,נצרת,2948,1217,1731,96,2852,2369,2938,34,10%
2012-10,הצפון,1061,נצרת עילית,1991,858,1133,262,1729,1085,1893,85,8%
2012-10,הצפון,525,סאג'ור,107,38,69,1,106,73,107,0,6%
2012-10,הצפון,7500,סח'נין,1991,850,1141,28,1963,1732,1991,17,16%
2012-10,הצפון,4501,ע'ג'ר,75,32,43,0,75,55,75,2,8%
2012-10,הצפון,530,עיילבון,193,72,121,2,191,137,193,2,8%
2012-10,הצפון,511,עילוט,299,116,183,2,297,249,299,3,12%
2012-10,הצפון,532,עין מאהל,588,254,334,9,579,520,582,3,13%
2012-10,הצפון,7600,עכו,3232,1474,1758,157,3075,2495,3205,83,13%
2012-10,הצפון,7700,עפולה,1767,700,1067,206,1561,859,1722,66,7%
2012-10,הצפון,531,עראבה,1363,555,808,28,1335,1236,1362,13,15%
2012-10,הצפון,535,פסוטה,110,47,63,3,107,80,110,8,7%
2012-10,הצפון,536,פקיעין (בוקייעה),124,62,62,5,119,83,122,2,5%
2012-10,הצפון,8000,צפת,1313,672,641,89,1224,991,1300,14,10%
2012-10,הצפון,4100,קצרין,194,86,108,38,156,79,193,5,5%
2012-10,הצפון,2800,קריית שמונה,683,293,390,62,621,273,652,64,5%
2012-10,הצפון,543,ראמה,295,110,185,10,285,237,295,0,8%
2012-10,הצפון,26,ראש פינה,47,17,30,8,39,17,47,0,3%
2012-10,הצפון,542,ריינה,661,271,390,14,647,548,657,9,11%
2012-10,הצפון,122,רמת ישי,97,31,66,36,61,14,97,1,2%
2012-10,הצפון,913,שבלי - אום אל-גנם,217,95,122,8,209,160,216,0,9%
2012-10,הצפון,812,שלומי,263,109,154,20,243,147,262,8,8%
2012-10,הצפון,538,שעב,484,195,289,4,480,440,484,2,17%
2012-10,הצפון,8800,שפרעם,1987,750,1237,30,1957,1687,1981,34,12%
2012-10,חיפה,2710,אום אל-פחם,3683,1484,2199,12,3671,3215,3679,9,20%
2012-10,חיפה,1020,אור עקיבא,614,268,346,50,564,226,600,15,6%
2012-10,חיפה,6000,באקה אל-גרביה,659,299,360,16,643,451,658,16,6%
2012-10,חיפה,9800,בנימינה-גבעת עדה*,212,79,133,65,147,53,211,3,3%
2012-10,חיפה,1326,"בסמ""ה",413,182,231,2,411,334,413,4,12%
2012-10,חיפה,541,ג'סר א-זרקא,426,225,201,1,425,279,424,0,8%
2012-10,חיפה,628,ג'ת,199,87,112,11,188,119,198,3,4%
2012-10,חיפה,494,דאלית אל-כרמל,490,190,300,9,481,293,486,9,7%
2012-10,חיפה,9300,זכרון יעקב,248,103,145,88,160,46,244,0,3%
2012-10,חיפה,6500,חדרה,2454,977,1477,328,2126,1002,2418,42,5%
2012-10,חיפה,4000,חיפה,6797,3182,3615,1194,5603,4002,6776,171,5%
2012-10,חיפה,1247,חריש,33,12,21,6,27,4,33,1,2%
2012-10,חיפה,2100,טירת כרמל,741,343,398,33,708,459,736,35,7%
2012-10,חיפה,654,כפר קרע,354,146,208,3,351,233,353,12,5%
2012-10,חיפה,1327,מעלה עירון,938,359,579,1,937,788,938,1,18%
2012-10,חיפה,2500,נשר,494,206,288,89,405,241,493,17,4%
2012-10,חיפה,534,עספיא,286,113,173,8,278,173,285,5,6%
2012-10,חיפה,637,ערערה,563,229,334,4,559,393,563,13,8%
2012-10,חיפה,537,פוריידיס,370,168,202,6,364,254,369,1,7%
2012-10,חיפה,7800,פרדס חנה-כרכור,862,377,485,144,718,290,856,29,5%
2012-10,חיפה,6800,קריית אתא,1682,721,961,173,1509,996,1676,46,6%
2012-10,חיפה,9500,קריית ביאליק,1193,482,711,132,1061,639,1184,23,6%
2012-10,חיפה,2300,קריית טבעון,182,92,90,56,126,52,180,6,2%
2012-10,חיפה,9600,קריית ים,1550,729,821,162,1388,983,1549,51,7%
2012-10,חיפה,8200,קריית מוצקין,1076,438,638,170,906,548,1072,31,5%
2012-10,חיפה,922,רכסים,141,66,75,6,135,81,141,3,5%
2012-10,ירושלים,472,אבו גוש,255,129,126,6,249,190,255,6,9%
2012-10,ירושלים,2610,בית שמש,1262,543,719,112,1150,585,1256,43,4%
2012-10,ירושלים,3000,ירושלים,10719,4698,6021,1264,9455,6534,10641,313,4%
2012-10,ירושלים,1015,מבשרת ציון,399,183,216,68,331,187,398,6,3%
2012-10,ירושלים,1137,קריית יערים,49,16,33,4,45,17,49,0,4%
2012-10,תל אביב,2400,אור יהודה,867,366,501,43,824,288,853,43,5%
2012-10,תל אביב,565,אזור,165,79,86,22,143,33,165,5,3%
2012-10,תל אביב,6100,בני ברק,2446,1176,1270,121,2325,1344,2434,61,5%
2012-10,תל אביב,6200,בת ים,3352,1565,1787,485,2867,1348,3288,171,5%
2012-10,תל אביב,6300,גבעתיים,781,339,442,325,456,104,773,24,3%
2012-10,תל אביב,6400,הרצלייה,1033,463,570,324,709,53,1022,105,2%
2012-10,תל אביב,6600,חולון,3186,1464,1722,505,2681,906,3145,91,3%
2012-10,תל אביב,2620,קריית אונו,400,176,224,136,264,49,394,4,2%
2012-10,תל אביב,8600,רמת גן,2067,928,1139,647,1420,439,2048,91,3%
2012-10,תל אביב,2650,רמת השרון,405,177,228,178,227,8,399,27,2%
2012-10,תל אביב,5000,תל אביב -יפו,8007,3927,4080,2519,5488,2634,7965,274,3%
2012-11,אזור יהודה והשומרון,3760,אורנית,102,48,54,37,65,3,102,3,2%
2012-11,אזור יהודה והשומרון,3750,אלפי מנשה,104,50,54,35,69,2,104,1,3%
2012-11,אזור יהודה והשומרון,3560,אלקנה,29,13,16,16,13,1,28,0,2%
2012-11,אזור יהודה והשומרון,3650,אפרת,50,25,25,25,25,8,50,2,1%
2012-11,אזור יהודה והשומרון,3570,אריאל,411,207,204,92,319,103,410,11,4%
2012-11,אזור יהודה והשומרון,3574,בית אל,58,27,31,14,44,22,57,4,2%
2012-11,אזור יהודה והשומרון,3652,בית אריה,61,24,37,5,56,4,60,0,3%
2012-11,אזור יהודה והשומרון,3780,ביתר עילית,452,219,233,14,438,205,449,18,4%
2012-11,אזור יהודה והשומרון,3730,גבעת זאב,159,78,81,20,139,37,159,6,2%
2012-11,אזור יהודה והשומרון,3769,הר אדר,29,14,15,14,15,4,29,1,2%
2012-11,אזור יהודה והשומרון,3797,מודיעין עילית,373,141,232,24,349,124,371,13,3%
2012-11,אזור יהודה והשומרון,3616,מעלה אדומים,625,250,375,100,525,202,617,43,3%
2012-11,אזור יהודה והשומרון,3660,עמנואל,79,40,39,4,75,56,79,0,8%
2012-11,אזור יהודה והשומרון,3557,קדומים,39,15,24,12,27,7,38,1,2%
2012-11,אזור יהודה והשומרון,3611,קריית ארבע,108,51,57,27,81,58,108,6,4%
2012-11,אזור יהודה והשומרון,3640,קרני שומרון,93,47,46,27,66,16,92,2,3%
2012-11,הדרום,31,אופקים,1385,570,815,100,1285,974,1380,9,11%
2012-11,הדרום,2600,אילת,1354,604,750,64,1290,605,1339,57,4%
2012-11,הדרום,70,אשדוד,6943,2813,4130,803,6140,3789,6891,160,7%
2012-11,הדרום,7100,אשקלון,4338,1747,2591,662,3676,2594,4245,103,7%
2012-11,הדרום,9000,באר שבע,7230,3140,4090,981,6249,4594,7186,155,7%
2012-11,הדרום,2200,דימונה,2148,897,1251,130,2018,1513,2126,46,12%
2012-11,הדרום,1303,חורה,748,317,431,1,747,696,748,2,21%
2012-11,הדרום,831,ירוחם,467,221,246,20,447,283,461,31,11%
2012-11,הדרום,1059,כסיפה,968,414,554,5,963,884,967,16,23%
2012-11,הדרום,1271,להבים,45,21,24,22,23,5,45,2,1%
2012-11,הדרום,1060,לקיה,969,433,536,3,966,909,967,9,27%
2012-11,הדרום,1268,מיתר,51,26,25,21,30,6,51,2,1%
2012-11,הדרום,99,מצפה רמון,242,93,149,13,229,144,230,9,10%
2012-11,הדרום,246,נתיבות,1060,461,599,55,1005,560,1050,38,8%
2012-11,הדרום,666,עומר,52,16,36,25,27,4,52,3,1%
2012-11,הדרום,2560,ערד,831,369,462,150,681,458,809,60,7%
2012-11,הדרום,1192,ערערה-בנגב,975,417,558,4,971,900,974,4,26%
2012-11,הדרום,2630,קריית גת,2410,1003,1407,187,2223,1541,2406,28,9%
2012-11,הדרום,1034,קריית מלאכי,1211,538,673,41,1170,815,1196,43,11%
2012-11,הדרום,1161,רהט,3117,1303,1814,9,3108,2762,3116,29,19%
2012-11,הדרום,1286,שגב-שלום,498,180,318,0,498,458,497,4,20%
